ID	Text	Pronoun	Pronoun_offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
development-11	[CLS] William S ##hat ##ner portraying writer Mark T ##wain ; a special Christmas episode which included appearances by Ed As ##ner , Brendan Co ##yle , Kelly Rowan and television news anchor Peter Mans ##bridge ; an episode which featured David On ##ley , the Lieutenant Governor of Ontario at the time of production , appearing as his own fore ##runner Oliver Mo ##wat ; and two different episodes in which former Dragons ' Den investors A ##rlene Dickinson and David Chi ##lton guest starred . [SEP]	his	58:59	Peter Mans ##bridge ;	33:37	FALSE	David On ##ley ,	41:45	TRUE	http://en.wikipedia.org/wiki/dummy
development-12	[CLS] His maternal great - grandfather was Henry Percy , 4th Earl of Northumberland , whose wife was Maud Herbert , Countess of Northumberland . His maternal grandmother was a daughter of Sir Robert Spencer and Eleanor Beaufort . Eleanor was a daughter of Edmund Beaufort , 2nd Duke of Somerset and Eleanor Beau ##champ . She was a granddaughter of Richard de Beau ##champ , 13th Earl of Warwick and Elizabeth Berkeley . [SEP]	She	56:57	Eleanor	39:40	TRUE	Eleanor Beau ##champ .	52:56	FALSE	http://en.wikipedia.org/wiki/dummy
development-13	[CLS] Kill ##ian in 1978 - - 79 , an assistant district attorney for Brunswick Judicial Circuit in 1979 - - 80 , and a practicing attorney in G ##lynn County in 1980 - - 90 . Williams was elected a Superior Court judge in 1990 , taking the bench in 1991 . In November 2010 Williams competed against Mary Helen Moses in her most recent bid for re - election . [SEP]	her	63:64	Williams	56:57	TRUE	Mary Helen Moses	59:62	FALSE	http://en.wikipedia.org/wiki/dummy
development-14	[CLS] AR ##TA driver Vita ##nton ##io Liu ##zzi will be replaced by former Mu ##gen driver Tom ##oki No ##ji ##ri after a disappointing season last year . After years of being with Real Racing , To ##shi ##hiro Kane ##ishi will not drive for this season , being replaced by former Team Ku ##ni ##mit ##su driver Hi ##dek ##i Mu ##to ##h . Ka ##zuki Na ##ka ##jima , like Oliver Jarvis , will not return to focus on his L ##MP ##1 drive in the 2015 World End ##urance Championship . [SEP]	his	82:83	Ka ##zuki Na ##ka ##jima ,	66:72	TRUE	Oliver Jarvis ,	73:76	FALSE	http://en.wikipedia.org/wiki/dummy
development-15	[CLS] Twenty years ago , Lorenzo U ##ri ##be discovered true love with Maria Herrera and began a romance . Lorenzo was rich , married , and had a young son : Lau ##tar ##o . Maria was poor and unknown to Lorenzo , had a daughter called Ren ##ata . Maria ' s mother , G ##rac ##ia , wanted her daughter to catch this rich man at all costs and convinced her that pregnancy would assure this . [SEP]	her	61:62	Maria '	51:53	TRUE	G ##rac ##ia ,	56:60	FALSE	http://en.wikipedia.org/wiki/dummy
development-16	[CLS] A colleague in the department run by Erwin Fr ##ink Smith , she also collaborated with botanist Nell ##ie Ada ##les ##a Brown . M ##c ##C ##ull ##och was born in Cincinnati , Ohio . She was the daughter of Robert S . and Alma Tag ##gart ( n * e Eve ##let ##h ) M ##c ##C ##ull ##och . In 1898 , while studying biology at Florida Agricultural College , she was appointed head of the library , now part of the George A . S ##mat ##hers Libraries . [SEP]	she	74:75	Alma Tag ##gart	46:49	FALSE	M ##c ##C ##ull ##och .	57:63	FALSE	http://en.wikipedia.org/wiki/dummy
development-17	[CLS] Maurice custom - tail ##ors clothing for de V ##ar * z ##e on credit , but the Vic ##om ##te ' s unpaid tail ##oring bills become into ##ler ##able , so Maurice travels to de Sa ##vi ##gna ##c ' s castle to collect the money owed to him . On the way , he has a confrontation with Princess ##e Jean ##ette . He immediately pro ##fe ##sses his love for her , but she ha ##ught ##ily rejects him . When Maurice arrives at the castle , Gilbert introduces him as ` ` Baron Court ##elin ' ' in order to hide the truth from the Co ##m ##te . [SEP]	him	94:95	Maurice	86:87	TRUE	Gilbert	92:93	FALSE	http://en.wikipedia.org/wiki/dummy
development-18	[CLS] In 1988 , Race suffered an abdominal injury and during his absence his manager Bobby ` ` the Brain ' ' He ##enan awarded the crown to Ha ##ku in July , re ##ch ##rist ##ening him King Ha ##ku , even though Randy Savage had won the tournament by that point and Ted Di ##B ##ias ##e would also win the tournament during this storyline . Race eventually returned from his injury and briefly feud ##ed with King Ha ##ku , but was unable to regain the crown at the 1989 Royal R ##umble . [SEP]	his	72:73	Randy Savage	44:46	FALSE	Ted Di ##B ##ias ##e	54:59	FALSE	http://en.wikipedia.org/wiki/dummy
development-19	[CLS] The rest of the group find out what has happened to Case and decide to band together and take on Justin at the Beat ##down to a ##venge their mentor . With each facing their own trials to reach the final match , it comes down to only one of them versus their own . Mike defeats Zack , while Justin in ##jure ##s Tim in the rest ##room - thus eliminating him from the tournament . [SEP]	him	73:74	Justin	61:62	FALSE	Tim	65:66	TRUE	http://en.wikipedia.org/wiki/dummy
development-20	[CLS] On 30 July 1966 , Ramsey ' s promise was fulfilled as England became the World Champions by beating West Germany in a thrill ##ing final . A lot of Ramsey ' s tactics and decisions proved their worth in this final . Ramsey came under pressure to restore the fit - again Jimmy G ##reaves to the side : but he stuck to his guns and kept faith with G ##reaves ' s replacement , Geoff Hu ##rst , who v ##ind ##ica ##ted Ramsey ' s judgement by scoring a hat - trick in a 4 - - 2 win ( after extra time ) at Wembley . Fi ##lling his side with a good balance of experience and youth proved vital when the g ##rue ##lling final went to extra time . [SEP]	his	113:114	G ##reaves '	71:74	FALSE	Ramsey '	86:88	TRUE	http://en.wikipedia.org/wiki/dummy
development-21	[CLS] Ben Se ##vers ##on is a pioneer in the sport of body ##boarding and Sandy Beach local . O ##ahu life ##guard and former rival of Mike Stewart for more than 15 years , Ben is a fast , perfectly trained and precise prone rider who ex ##cel ##s at tube riding . He quickly gained recognition by winning a world title at the beginning of his career . [SEP]	He	54:55	Mike Stewart	27:29	FALSE	Ben	35:36	TRUE	http://en.wikipedia.org/wiki/dummy
development-22	[CLS] This device allowed him to continue his racing career in the Barber Pro Series , Grand American Road Racing Championship , and eventually enter the 24 Hours of Daytona in 2009 . Kurt has worked with various charities and organizations to raise awareness and donations for childhood cancer . Since over ##coming his illness , Kurt has teamed with Paul Newman ' s Hole in the Wall Gang Camp and One La ##p of America for fundraising events . [SEP]	his	53:54	Kurt	56:57	TRUE	Paul Newman	60:62	FALSE	http://en.wikipedia.org/wiki/dummy
development-23	[CLS] The meeting went a little differently from what many predicted and laid the ground ##work for Ma ##gee to sell the In ##quire ##r to V ##NU Business Publications later that year . Ma ##gee remained as the editor of the In ##quire ##r until February 2008 when he left to pursue other publishing ventures . During the 1960s Ma ##gee experimented with the o ##cc ##ult teachings of the Her ##met ##ic Order of the Golden Dawn and Kenneth Grant ' s Ty ##phon ##ian Order leading to his work being cited in Grant ' s books C ##ult ##s of the Shadow , Nights ##ide of Eden , and Outside the Circle ##s of Time . [SEP]	his	90:91	Ma ##gee	60:62	TRUE	Kenneth Grant	80:82	FALSE	http://en.wikipedia.org/wiki/dummy
development-24	[CLS] Louis M ##c ##N ##eil ##l begin her publishing career selling short poems to the Saturday Evening Post . In 1931 her first collection , Mountain White , was published . She went on to publish six other collections . In the 1980s M ##c ##N ##eil ##l ' s literary reputation was re - established by the poet Maggie Anderson , who edited M ##c ##N ##eil ##l ' s memoir for the University of Pittsburgh Press , as well as a new and selected poems in 1991 . In 1979 then - governor Jay Rockefeller named her West Virginia ' s poet la ##ure ##ate . [SEP]	her	99:100	Maggie Anderson ,	60:63	FALSE	M ##c ##N ##eil ##l '	65:71	TRUE	http://en.wikipedia.org/wiki/dummy
development-25	[CLS] Her initial ambition was to become a ` ` culture ##d ' ' private secretary working in the highest cultural circles . A month later , the Michigan League building opened , serving co - eds as the Michigan Union served men . Hart ##wig began by doing secret ##aria ##l work there , when Dr . Margaret Bell , the head of women ' s physical education , spotted her . [SEP]	her	71:72	Hart ##wig	44:46	TRUE	Margaret Bell ,	58:61	FALSE	http://en.wikipedia.org/wiki/dummy
development-26	[CLS] They were broadly positive , though they stopped short of naming it one of A ##y ##ck ##bo ##urn ' s best . Michael Bill ##ington in The Guardian wrote ` ` Few drama ##tist ##s in history have painted a more devastating picture of the emotional damage wrought by bullying men , ' ' and described Martin ' s mi ##s ##gu ##ided affection for his girlfriend ##s as ` ` an instant image of a g ##ris ##ly inheritance ' ' . [SEP]	his	67:68	Michael Bill ##ington	24:27	FALSE	Martin '	58:60	TRUE	http://en.wikipedia.org/wiki/dummy
development-27	[CLS] Connie , in a one - sided conversation , gives praise ##s for her late brother , Gordon . She does not seem to mind she spent childhood in the shadow of her brother , b ##lat ##antly the family favourite and given all the support she never had . Although Beth quietly agrees with Connie ' s idea of her id ##yl ##lic marriage to Gordon , she expresses subtle annoyance with Connie ' s idea that the whole family will have to look after her this first Christmas alone , and Connie ' s hints of self - pity don ' t help either . [SEP]	her	61:62	Beth	52:53	FALSE	Connie '	56:58	TRUE	http://en.wikipedia.org/wiki/dummy
development-28	[CLS] This is a list of episodes from the MTV show Bull ##y Beat ##down . First aired : 22 March 2009 The victim for the series premier is named Alan , a man who gets bull ##ied by his bigger younger brother . In his tape , Alan explains that Ryan gets away with bullying him because he is the family favorite . [SEP]	his	45:46	Alan	48:49	TRUE	Ryan	51:52	FALSE	http://en.wikipedia.org/wiki/dummy
development-29	[CLS] Meet Mike , the shortest bull ##y to appear on the show . He stands at 5 ' 4 and is a Bronx gym rat who makes life miserable for his victims , Lorenzo and Joey . May ##hem Miller brings in MMA fighter Eddie Alvarez with a record of 22 wins and 2 losses to teach him a lesson . [SEP]	him	58:59	May ##hem Miller	38:41	FALSE	Eddie Alvarez	45:47	FALSE	http://en.wikipedia.org/wiki/dummy
development-30	[CLS] With only six months ' experience under his belt , Paul won the Niagara District Ban ##tam ##weight Amateur Title , the National AA ##U Tournament in Boston and the Empire State Amateur Championship within a three month span in 1927 . On August 1 , 1927 , Paul knocked out Freddie Griffiths in four rounds in his first professional fight . [SEP]	his	58:59	Paul	49:50	TRUE	Freddie Griffiths	52:54	FALSE	http://en.wikipedia.org/wiki/dummy
development-31	[CLS] Nicholas Rogers as Tara ##bas role also caused problems , as has declared during his audition that he was able to ride horses but as soon as the shooting began , he could not even mount a horse . It was then soon realized he was also not good at acting ; Ba ##va said that for the scene where Rogers has to say ` ` I love you ' ' , they had to make three shots and then combine them later . He also injured himself on the set and had to be taken to hospital while still wearing his costume . [SEP]	He	85:86	Ba ##va	53:55	FALSE	Rogers	61:62	TRUE	http://en.wikipedia.org/wiki/dummy
development-32	[CLS] He is confronted by X ##elles ##ia , who explains that the dark magic within him does not allow him to fall in love , for as soon as he tries to kiss the one he desires , he will be transformed into a beast to de ##vour them . Fan ##tag ##hir * and E ##sm ##eral ##da continue on their journey and are reunited with Lightning and Bo ##lt who have a new plan to track down Tara ##bas . They decide to re ##su ##rre ##ct the Black Witch , who was destroyed in the previous film , and hold her heart hostage , promising to give her back her heart if she helps them find Tara ##bas . [SEP]	her	104:105	E ##sm ##eral ##da	56:60	FALSE	Bo ##lt	70:72	FALSE	http://en.wikipedia.org/wiki/dummy
development-33	[CLS] Christine eventually got out of the street when she was promoted at Miami Mode ##s and butt ##ed heads with Elsie and Dot , who didn ' t like the way she used her new ##found authority . Christine was transferred , and moved out of Weather ##field for good . Christine sent a te ##leg ##ram to con ##gra ##tu ##late Elsie and Steve Tanner on their wedding day in 1967 . In 1984 , Elsie Tanner informed Ken Barlow that Christine had died of liver failure after becoming an alcoholic in the late 1970s . She has never been mentioned again . [SEP]	She	98:99	Elsie Tanner	77:79	FALSE	Christine	83:84	TRUE	http://en.wikipedia.org/wiki/dummy
development-34	[CLS] Eventually she overheard the ` ` off - button ' ' code of the monster Three - Willie ##d Seth and proceeded to free herself . She literally took the heads of the television m ##og ##ul and his software billionaire co - con ##sp ##ira ##tor . She also saved her friend Angela S ##pic ##a , the Engineer , and killed the man who had been a ##bus ##ing Angela . Originally drawn flat - chest ##ed , as a plot point in the series she rapidly ` ` developed ' ' a more pronounced , arch ##ety ##pal superhero ##ine bust size . [SEP]	she	88:89	Angela S ##pic ##a ,	54:59	FALSE	Angela .	72:74	FALSE	http://en.wikipedia.org/wiki/dummy
development-35	[CLS] Kevin John Co ##yne of Country Universe gave the song a B rating , saying that ` ` does breakup about as good as anybody ' ' and that he doesn ' t believe Keith is ` ` capable of turning in a weak vocal performance . ' ' Bobby Peacock of Rough ##stock gave the song a 3 . 5 / 5 rating , saying that the production is ` ` loose ##r and funk ##ier ' ' than on Keith ' s other songs . He goes on to say that it ` ` contrasts with the more down ##beat lyrics of a fairly standard broken - heart song . ' ' [SEP]	He	88:89	Bobby Peacock	50:52	TRUE	Keith '	82:84	FALSE	http://en.wikipedia.org/wiki/dummy
development-36	[CLS] He was elected following the conviction on fraud and other charges as part of a broad scandal involving their former Chairman , Glenn Marshall associated with the Jack A ##bra ##mo ##ff Indian lobbying scandal . Cromwell ' s election and administration have been criticized by other tribe members alleging election and financial imp ##rop ##rie ##ties . However , Cromwell has successfully gained financial backing for the tribe ' s casino development effort from Malaysian billionaire Lim Go ##h Tong and his Ki ##en Hu ##at Real ##ty arm of the Gen ##ting Group , and Cromwell also successfully hired former U . S . representative Bill Del ##ahu ##nt to lobby on behalf of the tribe . [SEP]	his	83:84	Cromwell	61:62	TRUE	Lim Go ##h Tong	78:82	FALSE	http://en.wikipedia.org/wiki/dummy
development-37	[CLS] In 1650 he started his career as advisor in the minister ##ium of finances in Den Ha ##ag . After he became a minister he went back to Amsterdam , and took place as a sort of chair ##ing mayor of this city . After the death of his brother Co ##rne ##lis , De G ##rae ##ff became the strong leader of the republican ##s . He held this position until the ramp ##ja ##ar . [SEP]	He	68:69	Co ##rne ##lis ,	51:55	FALSE	De G ##rae ##ff	55:59	TRUE	http://en.wikipedia.org/wiki/dummy
development-38	[CLS] In a story that echoes that of Helen Keller , Better ##idge ' s teacher Roberta Reid fingers ##pelled words into her pupil ' s hand , until Better ##idge made the connection between the words spelled and the objects she was touching . The breakthrough came when Reid spelled the word ` ` shoe ' ' while placing a shoe in Alice ' s hand . Her education then progressed rapidly , and in a few short months she knew 200 nouns and several verbs , including ` ` run , ' ' ` ` jump , ' ' and ` ` laugh , ' ' and soon began learning to read bra ##ille . [SEP]	Her	68:69	Reid	49:50	FALSE	Alice '	63:65	TRUE	http://en.wikipedia.org/wiki/dummy
development-39	[CLS] Re ##cu ##rring injuries kept Andre ##ev from competing for several years . He injured his back while training q ##uad ##s which forced him to leave skating in 2005 . He did not compete in the 2005 - 2006 and 2006 - 2007 seasons . Andre ##ev returned to competition in the 2007 - 2008 season and was coached in Detroit by Call ##agh ##an . He placed 8th at the 2008 Canadian Championships . [SEP]	He	68:69	Andre ##ev	47:49	TRUE	Call ##agh ##an .	64:68	FALSE	http://en.wikipedia.org/wiki/dummy
development-40	[CLS] Post ##master of New Orleans from December 19 , 1843 , to April 18 , 1849 . He served as delegate to the Democratic National Convention ##s in 1844 , 1852 , 1856 , and 1860 . Penn was elected as a Democrat to the Thirty - first Congress to fill the vacancy caused by the death of John H . Ha ##rman ##son . He was reelected to the Thirty - second Congress and served from December 30 , 1850 , to March 3 , 1853 . [SEP]	He	66:67	Penn	38:39	TRUE	John H . Ha ##rman ##son .	59:66	FALSE	http://en.wikipedia.org/wiki/dummy
development-41	[CLS] Karl Philipp F * r ##st zu Sc ##hwa ##rz ##enberg ( or Charles Philip , Prince of Sc ##hwa ##rz ##enberg ( April 18 , 1771 - - October 15 , 1820 ) was an Austrian field marshal . Karl Philipp was born in Vienna as the son of Johann N ##ep ##om ##uk Anton of Sc ##hwa ##rz ##enberg and Marie El ##eon ##ore Countess of * t ##ting ##en - Waller ##stein . He entered the imperial cavalry in 1788 , fought in 1789 under Lac ##y and Lou ##don against the Turks , distinguished himself by his bravery , and became major in 1792 . [SEP]	He	77:78	Johann N ##ep ##om ##uk	51:56	FALSE	Sc ##hwa ##rz ##enberg	58:62	TRUE	http://en.wikipedia.org/wiki/dummy
development-42	[CLS] In 1872 he was elected to the House of Commons as one of two representatives for Tam ##worth , a seat he held until 1878 , and then sat for Staffordshire North until 1880 , when he lost his seat . He unsuccessfully contested Preston in 1882 , but won the seat in 1885 . During the Liberal stay in power from 1892 to 1895 Han ##bury was a vigorous critic of William E ##wart Gladstone ' s Second Home Rule Bill from a financial perspective . When the Conservatives came to power in 1895 under Lord Salisbury , he was appointed Financial Secretary to the Treasury and sworn of the Privy Council . [SEP]	he	100:101	Han ##bury	66:68	TRUE	William E ##wart Gladstone	73:77	FALSE	http://en.wikipedia.org/wiki/dummy
development-43	[CLS] I ##mp ##ressed by her beauty , her warrior skills , and the fact that she was able to locate him , she is promoted to a position similar to that later held by her half - sister , Ta ##lia . As a right hand associate , she a ##cco ##mp ##ani ##es him during his adventures . Ra ' s is so impressed with her abilities , he even allows N ##yssa to use his Lazarus Pit ##s . Like her sister Ta ##lia , N ##yssa eventually becomes di ##sen ##chanted with Ra ' s g ##eno ##cid ##al plans to ` ` clean ##se the Earth ' ' , and di ##sa ##sso ##cia ##tes herself from her father sometime in the early 20th century . [SEP]	her	83:84	Ta ##lia ,	85:88	FALSE	N ##yssa	88:90	TRUE	http://en.wikipedia.org/wiki/dummy
development-44	[CLS] Among which : 3 ( ` ` Lim ##pid ##o / Lim ##pio ' ' , ` ` Se non te / Sino a t ##i ' ' and ` ` Dove rest ##o solo i ##o / Don ##de que ##do solo yo ' ' ) are completely new and written for this album ( all these three tracks were chosen as the singles of the album ) . The first single of the album , ` ` Lim ##pid ##o / Lim ##pio ' ' , is included in its solo and duet versions with Kylie Min ##ogue . 2 ( ` ` Rama ##ya ' ' and ` ` Pa ##ola ' ' ) are amateur recordings of Laura Pa ##us ##ini singing the famous song ` ` Rama ##ya ' ' when she was two years old ( the former ) and her daughter saying the word ` ` ma ##mma ' ' ( mom ##my ) for the first time ( the latter ) . [SEP]	she	137:138	Pa ##ola '	113:116	FALSE	Laura Pa ##us ##ini	122:126	TRUE	http://en.wikipedia.org/wiki/dummy
development-45	[CLS] In 2014 Dean played the lead role in The Long Road South alongside Michael Brandon , a new play by Paul Min ##x . The press said of Dean ##s performance ` ` Fe ##licity Dean , playing the best drunk ma in her night ##dress since Lindsay Duncan in That Face . ' ' ` ` Fe ##licity Dean ' s Carol Ann marks the play ' s stand ##out performance as she q ##ua ##kes about the stage in s ##li ##ver heels , br ##im ##ming with m ##oro ##se longing . ' ' . [SEP]	she	74:75	Fe ##licity Dean '	58:62	FALSE	Carol Ann	63:65	TRUE	http://en.wikipedia.org/wiki/dummy
development-46	[CLS] The feature - length documentary traced the journey of the song , Ha ##va Na ##gi ##la , from the Ukraine to YouTube . Released theatrical ##ly and screened at 80 Jewish film festivals , Ha ##va Na ##gi ##la : The Movie was either opening or closing night at more than half of those festivals . Director D ##yan ##na Taylor ' s film about her grandmother , the photographer Dorothea Lange , G ##rab a Hu ##nk of Lightning , aired on PBS ' s ` ` American Masters ' ' in 2014 and was produced by Gross ##man . [SEP]	her	67:68	Dorothea Lange ,	72:75	FALSE	Gross ##man .	100:103	FALSE	http://en.wikipedia.org/wiki/dummy
development-47	[CLS] The Movie was either opening or closing night at more than half of those festivals . Director D ##yan ##na Taylor ' s film about her grandmother , the photographer Dorothea Lange , G ##rab a Hu ##nk of Lightning , aired on PBS ' s ` ` American Masters ' ' in 2014 and was produced by Gross ##man . She directed Above and Beyond ( 2015 ) for producer Nancy S ##pie ##lberg . [SEP]	She	62:63	Dorothea Lange ,	31:34	FALSE	Gross ##man .	59:62	FALSE	http://en.wikipedia.org/wiki/dummy
development-48	[CLS] Episode ##s focused on the friendship between Judge R ##if ##kind , a liberal Jew , and Judge Sims , a conservative lesbian African American , as well as the romance between Bobby and Cynthia , Ramon ' s in ##fi ##delity to his wife Cassandra , J . J . ' s potentially corrupt mob ties , Fat ##ima ' s drug addiction , Rebecca R ##if ##kind ' s est ##rang ##ement from her father , and S ##pie ##gel ##man and Byrne ##s ' political s ##che ##ming . [SEP]	her	76:77	Fat ##ima '	59:62	FALSE	Rebecca R ##if ##kind '	66:71	TRUE	http://en.wikipedia.org/wiki/dummy
development-49	[CLS] Alice ( 19 ) , Kathleen Mary ( 12 ) , Gertrude ( 10 ) and Mabel ( 7 ) . In the 1901 census Allen was living at Fox Lane in Le ##yland with his 2nd wife Margaret ( W ##hit ##tle ) , daughter of James W ##hit ##tle , a coach ##man , & Ann Mills , whom he had married in 1900 . She was some 18 years his junior . [SEP]	She	68:69	Margaret	39:40	TRUE	Ann Mills ,	58:61	FALSE	http://en.wikipedia.org/wiki/dummy
development-50	[CLS] F ##lu ##rry Tale is a one - act opera - musical composed by Rusty Ma ##gee to a libretto by Billy A ##rons ##on and was originated , developed and directed by G ##ret ##he Barrett Ho ##lby . It is scored for piano , two male voices ( tenor and bass ) and three female voices ( 2 soprano ##s , 1 me ##zzo - soprano ) The comic plot revolves around a young girl , Emma , and her ha ##rried father who pro ##claim ##s his disbelief in Santa Claus and talking snow ##men . [SEP]	his	90:91	Rusty Ma ##gee	15:18	FALSE	Billy A ##rons ##on	22:26	FALSE	http://en.wikipedia.org/wiki/dummy
development-51	[CLS] She auditions to be a dancer at Cheung Lai Yu ##en for a better income and a chance to find her father , who is the Emperor . Ever ##green Ma ##k as Ko Yan ( * * ) / Ki ##u Bo - lung ( * * * ) , a Music Bureau official who looks over Cheung Lai Yu ##en . In a q ##ua ##rrel with Ming - but , Bo - lung loses his memory and gets half of his face burnt . [SEP]	his	78:79	Ming -	70:72	FALSE	Bo - lung	74:77	TRUE	http://en.wikipedia.org/wiki/dummy
development-52	[CLS] On May 19 , 1992 , during the couple ' s marriage c ##ere ##mo ##my , Isabella went into labor ; she quickly gave birth to Brady Victor Black and named him in honor of the Brady family and Isabella ' s father . The Black family ' s happiness was short - lived when Dr . Carly Manning informed Isabella that her back pain was the result of advanced pan ##cre ##atic cancer . [SEP]	her	64:65	Carly Manning	59:61	FALSE	Isabella	62:63	TRUE	http://en.wikipedia.org/wiki/dummy
